#Time Threads
1 993.517090
2 989.686035
3 538.538086
4 404.232178
5 339.017822
6 328.698975
7 276.042969
8 258.396973
9 276.459961
10 276.722900
11 266.354004
12 259.468018
13 266.076904
14 247.835938
15 260.047852
16 260.207031
17 249.986084
18 291.813232
19 267.792969
20 290.845947
21 248.163086
22 281.104004
23 253.261963
24 257.277832
25 298.864014
26 293.225098
27 298.747070
28 291.450195
29 279.625977
30 289.294189
31 285.843018
32 289.944092
33 295.187988
34 312.075928
35 315.557129
36 298.376953
37 309.623047
38 327.362061
39 312.434082
40 307.120850
41 321.549805
42 327.683838
43 285.378174
44 324.168945
45 311.540039
46 330.234131
47 330.552002
48 310.229004
49 316.641113
50 340.932129
51 346.528076
52 322.594971
53 358.006104
54 343.607910
55 360.447021
56 338.630859
57 326.845215
58 351.271973
59 358.075195
60 336.015137
61 338.177002
62 345.148926
63 347.193115
64 350.871094
